PlanName,fye,InvestmentReturn_1yr,Date,acwi_exUS,russell3000_IWV,vanguardBond_VBTIX,b1_acwi_exUS,b2_russell3000_IWV,b3_vanguardBond_VBTIX,portfolio_return,sst,sse,r_squared,geomean_actual,geomean_portfolio,sd_actual,sd_portfolio
Alabama ERS,2011-09-30,0.0221,2011-09-01,-0.13241468272479828,0.00632855610478722,0.05322940015541455,0.08418607086915128,0.5818103439610791,0.3340035851697697,0.010313358028461945,0.02856652,0.0015405643450417518,0.9460709829184041,0.09080335752912161,0.08985060264241307,0.05975629673933953,0.06427800687363457
Alabama ERS,2012-09-30,0.1801,2012-09-01,0.11005339492607935,0.29556252047619735,0.05121667377189443,0.08418607086915128,0.5818103439610791,0.3340035851697697,0.19833284726518072,0.02856652,0.0015405643450417518,0.9460709829184041,0.09080335752912161,0.08985060264241307,0.05975629673933953,0.06427800687363457
Alabama ERS,2013-09-30,0.146,2013-09-01,0.1338368096505711,0.21637273296922443,-0.018095006660700297,0.08418607086915128,0.5818103439610791,0.3340035851697697,0.1311112922364225,0.02856652,0.0015405643450417518,0.9460709829184041,0.09080335752912161,0.08985060264241307,0.05975629673933953,0.06427800687363457
Alabama ERS,2014-09-30,0.1202,2014-09-01,0.02119684536258659,0.1746169562894595,0.03918636303453438,0.08418607086915128,0.5818103439610791,0.3340035851697697,0.11646681626940292,0.02856652,0.0015405643450417518,0.9460709829184041,0.09080335752912161,0.08985060264241307,0.05975629673933953,0.06427800687363457
Alabama ERS,2015-09-30,0.0105,2015-09-01,-0.14305721779430114,-0.0074447049231646245,0.027835056851142514,0.08418607086915128,0.5818103439610791,0.3340035851697697,-0.007077822625923833,0.02856652,0.0015405643450417518,0.9460709829184041,0.09080335752912161,0.08985060264241307,0.05975629673933953,0.06427800687363457
Alabama ERS,2016-09-30,0.1022,2016-09-01,0.06303407465265254,0.14888605105848485,0.05346858648714958,0.08418607086915128,0.5818103439610791,0.3340035851697697,0.10978873523389131,0.02856652,0.0015405643450417518,0.9460709829184041,0.09080335752912161,0.08985060264241307,0.05975629673933953,0.06427800687363457
Alabama ERS,2017-09-30,0.1286,2017-09-01,0.16634054787956232,0.18492172090215053,-0.0013587066005743553,0.08418607086915128,0.5818103439610791,0.3340035851697697,0.1211391143203715,0.02856652,0.0015405643450417518,0.9460709829184041,0.09080335752912161,0.08985060264241307,0.05975629673933953,0.06427800687363457
Alabama ERS,2018-09-30,0.0929,2018-09-01,-0.008419070444235177,0.17313484572205318,-0.012081134275997663,0.08418607086915128,0.5818103439610791,0.3340035851697697,0.09598773351902475,0.02856652,0.0015405643450417518,0.9460709829184041,0.09080335752912161,0.08985060264241307,0.05975629673933953,0.06427800687363457
Alabama ERS,2019-09-30,0.0278,2019-09-01,-0.04013245124578746,0.027955556137303716,0.10466752489932296,0.08418607086915128,0.5818103439610791,0.3340035851697697,0.04784556691435732,0.02856652,0.0015405643450417518,0.9460709829184041,0.09080335752912161,0.08985060264241307,0.05975629673933953,0.06427800687363457
Alaska PERS,2012-06-30,0.0046,2012-06-01,-0.17175008835072447,0.032639848441331054,0.07670276400902099,0.2066277093146941,0.5356132637467795,0.25775902693852637,0.0017648382358157085,0.032974022222222225,4.4563993128900707e-4,0.9864851206720945,0.07347078574003718,0.0729678784353267,0.0642008783255944,0.06414642484151495
Alaska PERS,2013-06-30,0.125,2013-06-01,0.10480314041123573,0.22359722261558512,-0.007814072519193749,0.2066277093146941,0.5356132637467795,0.25775902693852637,0.1394027232730342,0.032974022222222225,4.4563993128900707e-4,0.9864851206720945,0.07347078574003718,0.0729678784353267,0.0642008783255944,0.06414642484151495
Alaska PERS,2014-06-30,0.1856,2014-06-01,0.18688917798194993,0.24275323118057468,0.042757752385039094,0.2066277093146941,0.5356132637467795,0.25775902693852637,0.1796595298286667,0.032974022222222225,4.4563993128900707e-4,0.9864851206720945,0.07347078574003718,0.0729678784353267,0.0642008783255944,0.06414642484151495
Alaska PERS,2015-06-30,0.0329,2015-06-01,-0.07559487722254776,0.07093642214853468,0.017720562583371402,0.2066277093146941,0.5356132637467795,0.25775902693852637,0.026942127237368482,0.032974022222222225,4.4563993128900707e-4,0.9864851206720945,0.07347078574003718,0.0729678784353267,0.0642008783255944,0.06414642484151495
Alaska PERS,2016-06-30,-0.0036,2016-06-01,-0.12680033051604223,0.020886637254216245,0.06148755736640399,0.2066277093146941,0.5356132637467795,0.25775902693852637,8.356710691410398e-4,0.032974022222222225,4.4563993128900707e-4,0.9864851206720945,0.07347078574003718,0.0729678784353267,0.0642008783255944,0.06414642484151495
Alaska PERS,2017-06-30,0.1335,2017-06-01,0.1747050835950099,0.18256434735278093,-0.004519121695114037,0.2066277093146941,0.5356132637467795,0.25775902693852637,0.1327179527475434,0.032974022222222225,4.4563993128900707e-4,0.9864851206720945,0.07347078574003718,0.0729678784353267,0.0642008783255944,0.06414642484151495
Alaska PERS,2018-06-30,0.0961,2018-06-01,0.045833017256015296,0.14594332226152473,-0.005193024446699446,0.2066277093146941,0.5356132637467795,0.25775902693852637,0.08630100159688535,0.032974022222222225,4.4563993128900707e-4,0.9864851206720945,0.07347078574003718,0.0729678784353267,0.0642008783255944,0.06414642484151495
Alaska PERS,2019-06-30,0.064,2019-06-01,-0.015225252919497612,0.0808568470054396,0.0786193910127988,0.2066277093146941,0.5356132637467795,0.25775902693852637,0.060426898312323424,0.032974022222222225,4.4563993128900707e-4,0.9864851206720945,0.07347078574003718,0.0729678784353267,0.0642008783255944,0.06414642484151495
