"","PlanName","PlanFullName","fy","fye","ActLiabilities_GASB","InvestmentReturn_1yr","month","SWTSX","VBMFX"
"42","Arizona SRS","Arizona State Retirement System",2002,2002-06-30,21285172,-0.082,6,-0.161377139013264,0.0724952668482628
"43","Arizona SRS","Arizona State Retirement System",2003,2003-06-30,22934742,0.024,6,0.00840718542076413,0.0941399802042868
"44","Arizona SRS","Arizona State Retirement System",2004,2004-06-30,24506244,0.175,6,0.210044930298992,0.00151733718578506
"45","Arizona SRS","Arizona State Retirement System",2005,2005-06-30,26486196,0.085,6,0.0834510139020883,0.0671837487935085
"46","Arizona SRS","Arizona State Retirement System",2006,2006-06-30,28192090,0.098,6,0.0958632827134356,-0.0100679632709131
"47","Arizona SRS","Arizona State Retirement System",2007,2007-06-30,30390476,0.178,6,0.201725333759148,0.0610487833110509
"48","Arizona SRS","Arizona State Retirement System",2008,2008-06-30,32424478,-0.076,6,-0.126672555083808,0.0727365157150885
"49","Arizona SRS","Arizona State Retirement System",2009,2009-06-30,34290116,-0.181,6,-0.257008191237972,0.0615446676819595
"50","Arizona SRS","Arizona State Retirement System",2010,2010-06-30,36072520,0.1491,6,0.159958702200008,0.0916510153908179
"51","Arizona SRS","Arizona State Retirement System",2011,2011-06-30,37051180,0.246,6,0.323305052657771,0.0356363530145376
"52","Arizona SRS","Arizona State Retirement System",2012,2012-06-30,38450288,0.013,6,0.014392838146547,0.0748260094810163
"53","Arizona SRS","Arizona State Retirement System",2013,2013-06-30,39911756,0.131,6,0.245178160311918,-0.00943616662490865
"54","Arizona SRS","Arizona State Retirement System",2014,2014-06-30,41349316,0.186,6,0.248978063745716,0.0417492025530282
"55","Arizona SRS","Arizona State Retirement System",2015,2015-06-30,42968128,0.032,6,0.0706342673998919,0.0160516518673341
"56","Arizona SRS","Arizona State Retirement System",2016,2016-06-30,44535008,0.006,6,0.0211200121972932,0.0602387534261064
"57","Arizona SRS","Arizona State Retirement System",2017,2017-06-30,50618760,0.139,6,0.184761432559152,-0.00538913367223248
"58","Arizona SRS","Arizona State Retirement System",2018,2018-06-30,52546436,0.094,6,0.147441951647899,-0.00605852848917976
"59","Arizona SRS","Arizona State Retirement System",2019,2019-06-30,54564392,0.066,6,0.0880615826296487,0.0775737145313218
"60","Arizona SRS","Arizona State Retirement System",2020,2020-06-30,56710704,0.008,6,0.0637169903048058,0.0887383690228434
"61","Arkansas PERS","Arkansas Public Employees Retirement System",2001,2001-06-30,4111000,-0.0382,6,-0.149767821563439,0.115936438529123
"62","Arkansas PERS","Arkansas Public Employees Retirement System",2002,2002-06-30,4398000,-0.0574,6,-0.161377139013264,0.0724952668482628
"63","Arkansas PERS","Arkansas Public Employees Retirement System",2003,2003-06-30,4674000,0.0553,6,0.00840718542076413,0.0941399802042868
"64","Arkansas PERS","Arkansas Public Employees Retirement System",2004,2004-06-30,5005000,0.134,6,0.210044930298992,0.00151733718578506
"65","Arkansas PERS","Arkansas Public Employees Retirement System",2005,2005-06-30,5323000,0.0985,6,0.0834510139020883,0.0671837487935085
"66","Arkansas PERS","Arkansas Public Employees Retirement System",2006,2006-06-30,5936000,0.1224,6,0.0958632827134356,-0.0100679632709131
"67","Arkansas PERS","Arkansas Public Employees Retirement System",2007,2007-06-30,6174000,0.1801,6,0.201725333759148,0.0610487833110509
"68","Arkansas PERS","Arkansas Public Employees Retirement System",2008,2008-06-30,6543000,-0.0445,6,-0.126672555083808,0.0727365157150885
"69","Arkansas PERS","Arkansas Public Employees Retirement System",2009,2009-06-30,6938000,-0.2089,6,-0.257008191237972,0.0615446676819595
"70","Arkansas PERS","Arkansas Public Employees Retirement System",2010,2010-06-30,7304000,0.1195,6,0.159958702200008,0.0916510153908179
"71","Arkansas PERS","Arkansas Public Employees Retirement System",2011,2011-06-30,7734000,0.26,6,0.323305052657771,0.0356363530145376
