Date,Open,High,Low,Close,Adj Close,Volume
2000-06-01,78.156250,81.625000,78.156250,78.968750,54.617138,69600
2000-07-01,78.968750,83.515625,77.625000,78.375000,54.247059,201300
2000-08-01,78.562500,84.234375,77.687500,84.171875,58.259369,225500
2000-09-01,84.625000,84.687500,79.000000,80.671875,55.836834,405200
2000-10-01,80.500000,80.500000,72.093750,78.859375,54.682514,584400
2000-11-01,78.718750,79.828125,70.812500,71.640625,49.676899,3620100
2000-12-01,72.250000,76.750000,68.531250,72.453125,50.240276,2125000
2001-01-01,72.750000,76.000000,69.687500,75.589996,52.609001,2066800
2001-02-01,75.230003,75.620003,66.900002,68.059998,47.368286,1182800
2001-03-01,68.089996,69.900002,59.439999,63.360001,44.097198,1103700
2001-04-01,63.750000,70.000000,59.889999,68.839996,48.006958,1285800
2001-05-01,68.790001,72.830002,67.809998,69.480003,48.453270,739300
2001-06-01,69.449997,71.230003,66.000000,68.160004,47.532757,3951300
2001-07-01,68.099998,68.680000,64.370003,66.959999,46.789299,3071200
2001-08-01,67.099998,67.400002,62.299999,62.860001,43.924366,701600
2001-09-01,62.810001,64.029999,51.799999,57.299999,40.039238,8681100
2001-10-01,56.950001,60.889999,56.299999,58.419998,40.821861,6148200
2001-11-01,58.439999,63.900002,58.119999,62.709999,43.954578,21180700
2001-12-01,62.430000,64.790001,61.509998,63.500000,44.508308,5328500
2002-01-01,63.599998,65.160004,60.299999,62.490002,43.928230,3274900
2002-02-01,62.630001,62.669998,59.630001,61.410000,43.169006,802600
2002-03-01,61.700001,65.120003,61.630001,63.700001,44.778801,1964200
2002-04-01,63.360001,63.919998,59.669998,60.520000,42.639530,3235600
2002-05-01,60.500000,62.020000,58.759998,59.810001,42.139324,7974500
2002-06-01,59.820000,60.029999,53.200001,55.119999,38.834969,8153800
2002-07-01,55.310001,55.500000,43.549999,50.680000,35.832745,13984000
2002-08-01,50.750000,53.980000,46.610001,51.150002,36.165047,13425500
2002-09-01,50.450001,51.799999,44.689999,45.310001,32.035931,5419400
2002-10-01,45.900002,50.290001,42.700001,49.040001,34.891037,42911900
2002-11-01,48.950001,52.480000,48.360001,51.990002,36.989914,9784000
2002-12-01,53.000000,53.139999,48.400002,48.959999,34.834129,6514100
2003-01-01,49.500000,51.959999,46.799999,47.750000,34.113049,3160500
2003-02-01,47.599998,48.139999,45.000000,47.000000,33.577240,7692600
2003-03-01,47.450001,49.700001,44.000000,47.299999,33.791565,2954000
2003-04-01,47.500000,51.439999,47.279999,51.090000,36.635414,3189700
2003-05-01,50.919998,54.270000,50.320000,54.250000,38.901379,3993000
2003-06-01,54.680000,56.830002,54.200001,54.590000,39.145187,7408900
2003-07-01,54.369999,57.240002,54.000000,55.910000,40.256653,3754100
2003-08-01,55.750000,57.240002,54.130001,57.040001,41.070286,2642100
2003-09-01,57.369999,58.880001,56.009998,56.349998,40.573460,2397000
2003-10-01,56.610001,59.970001,56.549999,59.630001,43.082275,3969800
2003-11-01,60.049999,60.689999,58.830002,60.599998,43.783092,4048500
2003-12-01,60.959999,63.189999,59.950001,62.959999,45.488182,3447400
2004-01-01,63.270000,65.769997,62.639999,64.190002,46.761860,27048300
2004-02-01,64.379997,66.000000,63.799999,65.190002,47.490345,2439500
2004-03-01,65.389999,66.379997,62.000000,64.169998,46.747280,3102300
2004-04-01,64.309998,65.500000,62.799999,62.799999,45.903778,3089700
2004-05-01,63.049999,64.089996,60.970001,63.740002,46.590878,2818700
2004-06-01,63.689999,65.129997,63.380001,64.760002,47.336452,4717100
2004-07-01,64.739998,64.760002,60.900002,62.400002,45.756027,7207800
2004-08-01,62.160000,62.860001,59.840000,62.529999,45.851341,6946800
2004-09-01,62.480000,64.389999,62.450001,63.200001,46.342648,1911400
2004-10-01,63.580002,65.440002,62.070000,64.239998,47.287895,3068200
2004-11-01,64.360001,67.930000,64.160004,67.300003,49.540401,3060700
2004-12-01,67.580002,69.529999,67.199997,69.150002,50.902214,4659800
2005-01-01,69.459999,69.610001,66.230003,67.269997,49.837421,4785400
2005-02-01,67.419998,69.320000,67.389999,68.849998,51.007954,2891600
2005-03-01,69.050003,70.339996,66.250000,67.300003,49.859619,4292100
2005-04-01,67.750000,67.930000,64.800003,65.779999,49.029739,2534600
2005-05-01,65.860001,68.830002,65.419998,68.360001,50.952759,2446600
2005-06-01,68.260002,70.099998,68.199997,68.480003,51.042210,3631900
2005-07-01,68.790001,71.949997,68.180000,71.320000,53.314442,2301000
2005-08-01,71.489998,72.059998,69.300003,70.739998,52.880875,2444200
2005-09-01,70.620003,72.019997,69.599998,71.089996,53.142506,2656900
2005-10-01,71.000000,71.300003,67.169998,69.510002,52.193291,2348700
2005-11-01,69.400002,73.489998,69.269997,72.400002,54.363338,3533800
2005-12-01,72.800003,73.889999,71.900002,72.019997,54.078003,2425900
2006-01-01,72.349998,74.910004,71.739998,74.230003,56.012650,3159000
2006-02-01,74.309998,75.570000,72.849998,74.519997,56.231506,4690300
2006-03-01,74.620003,76.959999,73.680000,75.690002,57.114342,2644900
2006-04-01,75.900002,76.910004,74.669998,76.510002,57.912464,4005500
2006-05-01,76.709999,77.449997,72.279999,74.010002,56.020168,3689900
2006-06-01,73.980003,75.250000,70.750000,73.709999,55.793076,7847300
2006-07-01,74.099998,74.300003,70.669998,73.739998,56.029907,3948800
2006-08-01,73.480003,75.620003,72.730003,75.519997,57.382435,3059500
2006-09-01,75.660004,77.230003,74.559998,76.889999,58.423397,7092600
2006-10-01,76.730003,80.250000,76.230003,79.589996,60.728924,3206100
2006-11-01,79.760002,81.720001,78.489998,81.279999,62.018414,12593700
2006-12-01,81.360001,83.019997,80.449997,82.040001,62.598316,6725900
2007-01-01,82.190002,83.669998,81.010002,83.540001,64.004166,7235300
2007-02-01,83.720001,85.309998,81.120003,82.150002,62.939198,8167900
2007-03-01,81.180000,83.900002,79.449997,82.639999,63.314613,6504300
2007-04-01,82.669998,86.980003,82.400002,85.910004,66.085876,5677400
2007-05-01,86.110001,89.300003,85.540001,89.080002,68.524399,7231300
2007-06-01,89.330002,89.629997,86.080002,87.029999,66.947433,9494200
2007-07-01,87.459999,90.110001,83.650002,84.180000,64.997246,8004800
2007-08-01,84.139999,86.750000,78.959999,85.150002,65.746178,16021300
2007-09-01,85.180000,89.610001,83.199997,87.989998,67.939003,10697400
2007-10-01,88.080002,91.160004,85.870003,89.580002,69.468422,7684600
2007-11-01,88.809998,88.809998,81.250000,85.599998,66.381996,12125900
2007-12-01,85.320000,88.190002,82.980003,84.400002,65.451408,7578000
2008-01-01,84.720001,84.870003,69.760002,79.360001,61.796646,13517900
2008-02-01,79.540001,80.709999,76.180000,77.169998,60.091297,11522600
2008-03-01,76.930000,78.230003,72.669998,76.209999,59.343773,9812000
2008-04-01,77.250000,81.169998,76.489998,79.970001,62.540764,5730400
2008-05-01,79.989998,83.620003,79.870003,81.540001,63.768578,7155900
2008-06-01,81.330002,82.129997,74.660004,74.900002,58.575756,7319800
2008-07-01,74.080002,75.370003,69.860001,73.959999,57.840607,12263200
2008-08-01,74.110001,76.680000,72.760002,75.199997,59.078625,12370700
2008-09-01,75.930000,76.300003,64.970001,68.790001,54.042789,15594700
2008-10-01,67.230003,67.910004,47.900002,55.880001,44.095985,36037100
2008-11-01,55.450001,57.939999,42.240002,51.349998,40.521294,34249900
2008-12-01,50.009998,53.000000,46.630001,52.000000,41.034206,47600800
2009-01-01,52.200001,54.439999,46.439999,47.650002,37.849949,44622800
2009-02-01,47.029999,50.689999,42.540001,42.650002,33.878296,37897900
2009-03-01,41.840000,48.169998,38.650002,45.880001,36.443970,44719100
2009-04-01,45.369999,51.959999,45.209999,50.970001,40.758072,30592300
2009-05-01,50.990002,54.209999,50.560001,53.810001,43.029068,21743800
2009-06-01,54.540001,56.009998,51.900002,53.869999,43.077049,21425100
2009-07-01,54.080002,58.299999,50.540001,57.660000,46.107708,18203000
2009-08-01,58.270000,60.930000,57.290001,59.759998,48.038208,11763200
2009-09-01,59.470001,63.470001,58.090000,61.990002,49.830811,10713800
2009-10-01,61.830002,64.599998,59.689999,60.380001,48.729187,9307400
2009-11-01,60.660000,65.080002,59.950001,63.869999,51.545765,6971500
2009-12-01,64.389999,66.269997,63.529999,65.279999,52.683678,14746100
2010-01-01,65.800003,67.510002,62.759998,62.849998,50.990784,11864000
2010-02-01,63.259998,65.589996,61.150002,64.970001,52.710766,10502400
2010-03-01,65.300003,69.629997,65.300003,68.809998,55.826210,14112400
2010-04-01,69.330002,72.410004,68.959999,70.330002,57.260403,13525500
2010-05-01,70.669998,71.489998,35.500000,64.889999,52.831337,18693200
2010-06-01,64.269997,67.220001,60.950001,61.080002,49.729359,8140300
2010-07-01,61.090000,66.309998,59.799999,64.940002,52.872055,7552500
2010-08-01,65.930000,66.610001,61.080002,61.930000,50.671310,6936100
2010-09-01,62.709999,68.389999,62.709999,67.449997,55.187786,5664300
2010-10-01,67.940002,70.830002,66.900002,70.150002,57.650265,5870000
2010-11-01,70.389999,72.860001,69.709999,70.410004,57.863949,9119900
2010-12-01,71.500000,75.239998,71.440002,74.949997,61.594967,7107800
2011-01-01,75.519997,77.510002,74.940002,76.540001,63.199444,5842500
2011-02-01,77.000000,80.379997,76.980003,79.360001,65.527977,5306000
2011-03-01,79.620003,79.699997,74.790001,79.260002,65.445389,8800500
2011-04-01,79.800003,81.760002,77.459999,81.720001,67.731163,3896300
2011-05-01,82.110001,82.110001,78.419998,80.779999,66.952087,3698900
2011-06-01,80.500000,80.580002,75.320000,79.290001,65.717125,5793200
2011-07-01,79.269997,81.300003,76.430000,76.970001,63.794258,5055400
2011-08-01,78.059998,78.190002,65.129997,72.459999,60.305916,15409700
2011-09-01,72.510002,73.120003,65.949997,66.730003,55.537045,8224000
2011-10-01,66.209999,76.620003,63.049999,74.180000,62.010853,7060400
2011-11-01,72.160004,75.739998,68.610001,73.919998,61.793491,8128900
2011-12-01,73.849998,75.290001,71.290001,74.180000,62.010853,10147600
